hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect
003892d6f23ce033,Paris,cleanliness,2017Q3,2017Q2,0.09090909090909094,0,1,8,6
003892d6f23ce033,Paris,location,2016Q1,2015Q4,-0.07575757575757591,1,2,2,6
003892d6f23ce033,Paris,location,2016Q4,2016Q3,-0.19480519480519498,1,4,5,6
003892d6f23ce033,Paris,location,2017Q3,2017Q2,0.033333333333333215,5,2,8,6
003892d6f23ce033,Paris,noise,2016Q1,2015Q4,0.0,0,0,2,6
003892d6f23ce033,Paris,noise,2016Q4,2016Q3,-0.09090909090909083,0,1,5,6
003892d6f23ce033,Paris,noise,2017Q3,2017Q2,0.0,0,0,8,6
003892d6f23ce033,Paris,room,2016Q1,2015Q4,-0.024242424242424288,1,5,2,6
003892d6f23ce033,Paris,room,2016Q4,2016Q3,0.21978021978021978,3,4,5,6
003892d6f23ce033,Paris,room,2017Q3,2017Q2,0.3076923076923076,3,3,8,6
003892d6f23ce033,Paris,service,2016Q1,2015Q4,-0.1428571428571428,0,4,2,6
003892d6f23ce033,Paris,service,2016Q4,2016Q3,0.09090909090909083,1,2,5,6
003892d6f23ce033,Paris,service,2017Q3,2017Q2,0.0,3,3,8,6
003892d6f23ce033,Paris,value,2016Q1,2015Q4,0.18181818181818177,1,1,2,6
003892d6f23ce033,Paris,value,2016Q4,2016Q3,0.16666666666666663,0,2,5,6
003892d6f23ce033,Paris,value,2017Q3,2017Q2,0.0,0,0,8,6
0051296f051d3cf0,Milan,breakfast,2015Q4,2015Q3,0.23333333333333328,5,2,1,9
0051296f051d3cf0,Milan,breakfast,2016Q1,2015Q4,-0.06666666666666665,0,5,2,9
0051296f051d3cf0,Milan,breakfast,2016Q2,2016Q1,0.16666666666666674,2,0,3,9
0051296f051d3cf0,Milan,breakfast,2016Q3,2016Q2,-0.16666666666666674,4,2,4,9
0051296f051d3cf0,Milan,breakfast,2016Q4,2016Q3,0.09090909090909083,1,4,5,9
0051296f051d3cf0,Milan,breakfast,2017Q1,2016Q4,-0.18181818181818177,1,1,6,9
0051296f051d3cf0,Milan,breakfast,2017Q2,2017Q1,0.0,1,1,7,9
0051296f051d3cf0,Milan,breakfast,2017Q3,2017Q2,0.2575757575757577,2,1,8,9
0051296f051d3cf0,Milan,cleanliness,2015Q4,2015Q3,-0.023809523809523947,4,2,1,9
0051296f051d3cf0,Milan,cleanliness,2016Q1,2015Q4,-0.051948051948051965,1,4,2,9
0051296f051d3cf0,Milan,cleanliness,2016Q2,2016Q1,0.0,1,1,3,9
0051296f051d3cf0,Milan,cleanliness,2016Q3,2016Q2,-0.09090909090909083,2,1,4,9
0051296f051d3cf0,Milan,cleanliness,2016Q4,2016Q3,0.0,0,2,5,9
0051296f051d3cf0,Milan,cleanliness,2017Q1,2016Q4,0.0,0,0,6,9
0051296f051d3cf0,Milan,cleanliness,2017Q2,2017Q1,0.0,0,0,7,9
0051296f051d3cf0,Milan,cleanliness,2017Q3,2017Q2,-0.09090909090909094,1,0,8,9
0051296f051d3cf0,Milan,location,2015Q4,2015Q3,0.33333333333333326,5,2,1,9
0051296f051d3cf0,Milan,location,2016Q1,2015Q4,-0.10256410256410242,3,5,2,9
0051296f051d3cf0,Milan,location,2016Q2,2016Q1,-0.0641025641025641,2,3,3,9
0051296f051d3cf0,Milan,location,2016Q3,2016Q2,0.08333333333333326,6,2,4,9
0051296f051d3cf0,Milan,location,2016Q4,2016Q3,-0.34090909090909094,1,6,5,9
0051296f051d3cf0,Milan,location,2017Q1,2016Q4,0.2575757575757577,2,1,6,9
0051296f051d3cf0,Milan,location,2017Q2,2017Q1,0.0641025641025641,3,2,7,9
0051296f051d3cf0,Milan,location,2017Q3,2017Q2,-0.15384615384615397,3,3,8,9
0051296f051d3cf0,Milan,noise,2015Q4,2015Q3,0.16666666666666674,2,0,1,9
0051296f051d3cf0,Milan,noise,2016Q1,2015Q4,-0.16666666666666674,0,2,2,9
0051296f051d3cf0,Milan,noise,2016Q2,2016Q1,0.0,0,0,3,9
0051296f051d3cf0,Milan,noise,2016Q3,2016Q2,0.09090909090909083,1,0,4,9
0051296f051d3cf0,Milan,noise,2016Q4,2016Q3,-0.18181818181818177,1,1,5,9
0051296f051d3cf0,Milan,noise,2017Q1,2016Q4,0.18181818181818177,1,1,6,9
0051296f051d3cf0,Milan,noise,2017Q2,2017Q1,-0.09090909090909083,0,1,7,9
0051296f051d3cf0,Milan,noise,2017Q3,2017Q2,0.16666666666666674,2,0,8,9
0051296f051d3cf0,Milan,room,2015Q4,2015Q3,-0.3298245614035088,9,5,1,9
0051296f051d3cf0,Milan,room,2016Q1,2015Q4,-0.022556390977443552,4,9,2,9
0051296f051d3cf0,Milan,room,2016Q2,2016Q1,0.2857142857142857,4,4,3,9
0051296f051d3cf0,Milan,room,2016Q3,2016Q2,-0.1428571428571429,4,4,4,9
0051296f051d3cf0,Milan,room,2016Q4,2016Q3,0.06593406593406603,3,4,5,9
0051296f051d3cf0,Milan,room,2017Q1,2016Q4,0.15384615384615374,3,3,6,9
0051296f051d3cf0,Milan,room,2017Q2,2017Q1,-0.15384615384615374,3,3,7,9
0051296f051d3cf0,Milan,room,2017Q3,2017Q2,0.07692307692307687,6,3,8,9
0051296f051d3cf0,Milan,service,2015Q4,2015Q3,-0.033333333333333326,10,5,1,9
0051296f051d3cf0,Milan,service,2016Q1,2015Q4,0.09999999999999998,0,10,2,9
0051296f051d3cf0,Milan,service,2016Q2,2016Q1,-0.1428571428571429,4,0,3,9
0051296f051d3cf0,Milan,service,2016Q3,2016Q2,0.2857142857142857,4,4,4,9
0051296f051d3cf0,Milan,service,2016Q4,2016Q3,0.023809523809523947,2,4,5,9
0051296f051d3cf0,Milan,service,2017Q1,2016Q4,-0.16666666666666674,2,2,6,9
0051296f051d3cf0,Milan,service,2017Q2,2017Q1,0.09090909090909083,1,2,7,9
0051296f051d3cf0,Milan,service,2017Q3,2017Q2,-0.09090909090909083,6,1,8,9
0051296f051d3cf0,Milan,value,2015Q4,2015Q3,0.09090909090909094,4,1,1,9
0051296f051d3cf0,Milan,value,2016Q1,2015Q4,0.0,0,4,2,9
0051296f051d3cf0,Milan,value,2016Q2,2016Q1,-0.16666666666666663,2,0,3,9
0051296f051d3cf0,Milan,value,2016Q3,2016Q2,0.16666666666666663,0,2,4,9
0051296f051d3cf0,Milan,value,2016Q4,2016Q3,-0.16666666666666663,2,0,5,9
0051296f051d3cf0,Milan,value,2017Q1,2016Q4,0.16666666666666663,0,2,6,9
0051296f051d3cf0,Milan,value,2017Q2,2017Q1,0.0,0,0,7,9
0051296f051d3cf0,Milan,value,2017Q3,2017Q2,0.0,0,0,8,9
00795a8b6ae87c5d,Barcelona,breakfast,2015Q4,2015Q3,-0.11094452773613206,13,19,1,9
00795a8b6ae87c5d,Barcelona,breakfast,2016Q1,2015Q4,0.17391304347826098,13,13,2,9
00795a8b6ae87c5d,Barcelona,breakfast,2016Q2,2016Q1,-0.11387163561076608,32,13,3,9
00795a8b6ae87c5d,Barcelona,breakfast,2016Q3,2016Q2,0.06442577030812324,41,32,4,9
00795a8b6ae87c5d,Barcelona,breakfast,2016Q4,2016Q3,-0.019607843137254832,24,41,5,9
00795a8b6ae87c5d,Barcelona,breakfast,2017Q1,2016Q4,-0.10485933503836331,13,24,6,9
00795a8b6ae87c5d,Barcelona,breakfast,2017Q2,2017Q1,0.0028985507246377384,20,13,7,9
00795a8b6ae87c5d,Barcelona,breakfast,2017Q3,2017Q2,-0.022222222222222143,8,20,8,9
00795a8b6ae87c5d,Barcelona,cleanliness,2015Q4,2015Q3,-0.09401709401709413,16,17,1,9
00795a8b6ae87c5d,Barcelona,cleanliness,2016Q1,2015Q4,-0.09311740890688247,9,16,2,9
00795a8b6ae87c5d,Barcelona,cleanliness,2016Q2,2016Q1,0.24269005847953218,26,9,3,9
00795a8b6ae87c5d,Barcelona,cleanliness,2016Q3,2016Q2,-0.032163742690058506,47,26,4,9
00795a8b6ae87c5d,Barcelona,cleanliness,2016Q4,2016Q3,-0.03609022556390973,25,47,5,9
00795a8b6ae87c5d,Barcelona,cleanliness,2017Q1,2016Q4,-0.24285714285714288,10,25,6,9
00795a8b6ae87c5d,Barcelona,cleanliness,2017Q2,2017Q1,-0.06470588235294117,24,10,7,9
00795a8b6ae87c5d,Barcelona,cleanliness,2017Q3,2017Q2,0.28851540616246485,11,24,8,9
00795a8b6ae87c5d,Barcelona,location,2015Q4,2015Q3,0.05587301587301585,53,65,1,9
00795a8b6ae87c5d,Barcelona,location,2016Q1,2015Q4,-0.054632705795496506,33,53,2,9
00795a8b6ae87c5d,Barcelona,location,2016Q2,2016Q1,-0.08335252129864146,91,33,3,9
00795a8b6ae87c5d,Barcelona,location,2016Q3,2016Q2,-0.06568121600892485,132,91,4,9
