hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect,pre_ok_index,post_ok_index,pre_present,post_present,has_2pre_2post,peer_count,improving_peer_count,peer_exposure,mean_peer_delta,max_peer_delta,peer_set_available
01f1b4d075f33eeb,London,cleanliness,2016Q2,2016Q1,0.23809523809523814,32,29,3,9,True,True,2,2,True,8,2,0.25,0.015669936850641553,0.25726654298082874,True
01f1b4d075f33eeb,London,cleanliness,2017Q1,2016Q4,0.2250000000000001,22,20,6,9,True,True,2,2,True,8,1,0.125,-0.0689121577130802,0.22282398452611218,True
01f1b4d075f33eeb,London,room,2016Q1,2015Q4,0.26046511627906965,120,76,2,9,True,True,2,2,True,8,0,0.0,0.04924011132380128,0.13242110375555627,True
01f1b4d075f33eeb,London,room,2017Q1,2016Q4,0.15171592347204643,123,91,6,9,True,True,2,2,True,8,1,0.125,-0.04648591476320864,0.16117216117216127,True
01f1b4d075f33eeb,London,value,2016Q1,2015Q4,0.44444444444444453,17,14,2,9,True,True,2,2,True,8,2,0.25,0.006381052175920832,0.4155844155844155,True
028680806c93c77f,London,breakfast,2016Q4,2016Q3,0.2934782608695652,6,13,5,9,True,True,2,2,True,10,3,0.3,-0.036646511402643946,0.43088803088803096,True
028680806c93c77f,London,cleanliness,2016Q2,2016Q1,0.16541353383458657,11,9,3,9,True,True,2,2,True,8,2,0.25,0.0656902485011197,0.2738095238095237,True
028680806c93c77f,London,room,2016Q1,2015Q4,0.224390243902439,40,31,2,9,True,True,2,2,True,8,4,0.5,0.11877955911603798,0.3556443556443557,True
028680806c93c77f,London,room,2016Q3,2016Q2,0.29761904761904756,32,46,4,9,True,True,2,2,True,8,0,0.0,-0.11995447334722503,0.028669108669108656,True
028680806c93c77f,London,room,2017Q1,2016Q4,0.17361111111111116,26,22,6,9,True,True,2,2,True,10,1,0.1,0.011421307472938624,0.3865079365079366,True
028680806c93c77f,London,service,2016Q1,2015Q4,0.27419354838709675,26,21,2,9,True,True,2,2,True,8,2,0.25,0.030166300603234497,0.2555344718532575,True
030435f21a461115,Vienna,breakfast,2016Q4,2016Q3,0.42245989304812825,12,7,5,9,True,True,2,2,True,10,1,0.1,0.0595404989275957,0.36309523809523814,True
030435f21a461115,Vienna,cleanliness,2016Q1,2015Q4,0.19195046439628483,9,7,2,9,True,True,2,2,True,10,3,0.3,-0.014514130348495668,0.1768421052631579,True
030435f21a461115,Vienna,cleanliness,2016Q4,2016Q3,0.21832358674463936,17,9,5,9,True,True,2,2,True,10,2,0.2,0.020203815792051126,0.24848484848484853,True
030435f21a461115,Vienna,location,2016Q2,2016Q1,0.23333333333333317,8,10,3,9,True,True,2,2,True,10,3,0.3,0.014709638569906269,0.20320855614973277,True
030435f21a461115,Vienna,location,2017Q1,2016Q4,0.24235294117647066,15,24,6,9,True,True,2,2,True,9,2,0.2222222222222222,0.06876879952215346,0.31534391534391526,True
030435f21a461115,Vienna,noise,2016Q4,2016Q3,0.34090909090909094,6,1,5,9,True,True,2,2,True,10,5,0.5,-0.018396880896880897,0.2575757575757577,True
030435f21a461115,Vienna,room,2016Q3,2016Q2,0.2155172413793104,19,14,4,9,True,True,2,2,True,10,1,0.1,-0.03449999191417954,0.1743589743589744,True
030435f21a461115,Vienna,room,2016Q4,2016Q3,0.2539949537426408,31,19,5,9,True,True,2,2,True,10,0,0.0,-0.08951679590763328,0.1428571428571429,True
030435f21a461115,Vienna,service,2016Q1,2015Q4,0.2575757575757577,14,12,2,9,True,True,2,2,True,10,2,0.2,-0.03852516955979586,0.2588235294117647,True
030435f21a461115,Vienna,service,2016Q2,2016Q1,0.20175438596491224,9,14,3,9,True,True,2,2,True,10,1,0.1,-0.004962398712398652,0.23076923076923084,True
030435f21a461115,Vienna,value,2016Q3,2016Q2,0.18382352941176472,7,6,4,9,True,True,2,2,True,10,2,0.2,-0.036188548293811476,0.2666666666666666,True
035a01afb001e526,London,room,2016Q1,2015Q4,0.16135593220338995,15,49,2,9,True,True,2,2,True,10,2,0.2,0.05193209931094539,0.21441441441441433,True
035a01afb001e526,London,room,2017Q1,2016Q4,0.2211764705882353,15,24,6,9,True,True,2,2,True,10,1,0.1,0.03320731800384805,0.18382352941176472,True
035a01afb001e526,London,service,2016Q4,2016Q3,0.3076923076923077,16,16,5,9,True,True,2,2,True,10,3,0.3,0.008249091951806186,0.26144994246260067,True
035b69564f87efb6,Barcelona,breakfast,2016Q4,2016Q3,0.36111111111111116,6,8,5,9,True,True,2,2,True,10,1,0.1,-0.013156525581077983,0.21111111111111125,True
035b69564f87efb6,Barcelona,cleanliness,2016Q2,2016Q1,0.2909090909090908,12,5,3,9,True,True,2,2,True,9,3,0.3333333333333333,0.029082956623002434,0.17999999999999994,True
035b69564f87efb6,Barcelona,location,2016Q2,2016Q1,0.16009148084619795,43,23,3,9,True,True,2,2,True,9,2,0.2222222222222222,0.022958676546190635,0.19047619047619047,True
035b69564f87efb6,Barcelona,location,2016Q4,2016Q3,0.15750915750915762,32,16,5,9,True,True,2,2,True,10,0,0.0,-0.04686232862832771,0.08928571428571419,True
035b69564f87efb6,Barcelona,noise,2016Q2,2016Q1,0.1607142857142857,6,4,3,9,True,True,2,2,True,9,2,0.2222222222222222,0.07046488274558452,0.42105263157894735,True
035b69564f87efb6,Barcelona,room,2016Q4,2016Q3,0.18888888888888877,35,26,5,9,True,True,2,2,True,10,0,0.0,-0.05711740749194697,0.05714285714285716,True
035b69564f87efb6,Barcelona,service,2016Q2,2016Q1,0.37142857142857144,32,15,3,9,True,True,2,2,True,9,1,0.1111111111111111,0.04653581163857005,0.2777777777777777,True
035b69564f87efb6,Barcelona,value,2016Q4,2016Q3,0.19999999999999996,5,2,5,9,True,True,2,2,True,10,3,0.3,0.006591882713837238,0.3291925465838509,True
039055a05f478159,London,service,2017Q1,2016Q4,0.17202469661486042,112,144,6,9,True,True,2,2,True,10,2,0.2,0.03025065443264787,0.38662486938349017,True
039055a05f478159,London,value,2017Q1,2016Q4,0.40695652173913033,36,40,6,9,True,True,2,2,True,10,2,0.2,0.0569914352073795,0.4,True
03a2b4057226714f,Paris,breakfast,2017Q1,2016Q4,0.2673796791443851,7,1,6,9,True,True,2,2,True,10,1,0.1,-0.06133306751727804,0.1678321678321677,True
03a2b4057226714f,Paris,cleanliness,2016Q2,2016Q1,0.4782608695652173,13,6,3,9,True,True,2,2,True,9,3,0.3333333333333333,0.06638615560184186,0.37662337662337675,True
03a2b4057226714f,Paris,location,2016Q3,2016Q2,0.19837398373983728,20,31,4,9,True,True,2,2,True,9,1,0.1111111111111111,-0.048763117423787056,0.35164835164835173,True
03a2b4057226714f,Paris,noise,2016Q2,2016Q1,0.171945701357466,7,3,3,9,True,True,2,2,True,9,1,0.1111111111111111,0.002284752284752309,0.25,True
03a2b4057226714f,Paris,room,2017Q1,2016Q4,0.3156199677938808,13,17,6,9,True,True,2,2,True,10,0,0.0,-0.09655879732452816,0.09999999999999998,True
03a2b4057226714f,Paris,service,2017Q1,2016Q4,0.26190476190476186,10,11,6,9,True,True,2,2,True,10,3,0.3,0.05009170045901686,0.4285714285714287,True
03a2b4057226714f,Paris,value,2017Q1,2016Q4,0.1575757575757576,5,1,6,9,True,True,2,2,True,10,1,0.1,-0.008959276018099538,0.16666666666666663,True
04050da64945bfdd,Paris,location,2016Q2,2016Q1,0.2920892494929006,19,7,3,9,True,True,2,2,True,8,3,0.375,0.05227187028657615,0.33333333333333326,True
04050da64945bfdd,Paris,room,2016Q2,2016Q1,0.23272727272727267,15,12,3,9,True,True,2,2,True,8,1,0.125,-0.013550216123745532,0.16666666666666674,True
04050da64945bfdd,Paris,service,2016Q2,2016Q1,0.18333333333333335,15,14,3,9,True,True,2,2,True,8,2,0.25,0.09600583240289126,0.17500000000000004,True
04050da64945bfdd,Paris,service,2017Q1,2016Q4,0.1795665634674921,9,7,6,9,True,True,2,2,True,9,1,0.1111111111111111,0.07439833510524949,0.16666666666666674,True
040e8233f6be511b,Paris,location,2016Q1,2015Q4,0.19047619047619047,5,4,2,9,True,True,2,2,True,6,1,0.16666666666666666,-0.032089770133248395,0.16666666666666674,True
040e8233f6be511b,Paris,location,2016Q4,2016Q3,0.26797385620915026,8,7,5,9,True,True,2,2,True,7,1,0.14285714285714285,-0.10926034939258744,0.19061583577712615,True
044331f2d396479f,London,breakfast,2017Q1,2016Q4,0.2666666666666667,5,8,6,9,True,True,2,2,True,10,3,0.3,0.00035103706300462225,0.18181818181818177,True
044331f2d396479f,London,cleanliness,2016Q1,2015Q4,0.2969696969696969,12,5,2,9,True,True,2,2,True,10,6,0.6,0.14122185742895127,0.4806763285024156,True
044331f2d396479f,London,location,2016Q1,2015Q4,0.22169059011164283,28,23,2,9,True,True,2,2,True,10,2,0.2,0.032379180609654036,0.38620689655172424,True
044331f2d396479f,London,location,2016Q3,2016Q2,0.15850815850815847,23,16,4,9,True,True,2,2,True,10,2,0.2,0.0500941407226436,0.24,True
044331f2d396479f,London,room,2016Q3,2016Q2,0.30522648083623694,31,25,4,9,True,True,2,2,True,10,0,0.0,-0.06058598746548908,0.06010230179028131,True
044331f2d396479f,London,value,2016Q3,2016Q2,0.39682539682539675,11,8,4,9,True,True,2,2,True,10,1,0.1,-0.03909455152018082,0.368421052631579,True
04f83ac4904fb95e,London,service,2016Q1,2015Q4,0.22672064777327927,16,9,2,9,True,True,2,2,True,10,3,0.3,-0.0009004659548314198,0.29537712895377144,True
04f83ac4904fb95e,London,service,2017Q1,2016Q4,0.463157894736842,9,5,6,9,True,True,2,2,True,10,3,0.3,0.056083276129399985,0.19736842105263164,True
04fa6c1ecd337e7d,Paris,location,2016Q1,2015Q4,0.16923076923076907,10,3,2,9,True,True,2,2,True,7,1,0.14285714285714285,-0.06935912875762495,0.26666666666666683,True
04fa6c1ecd337e7d,Paris,room,2016Q1,2015Q4,0.19999999999999996,10,5,2,9,True,True,2,2,True,7,2,0.2857142857142857,-0.02860246227539062,0.1678321678321678,True
04fa6c1ecd337e7d,Paris,room,2016Q3,2016Q2,0.16959064327485374,9,8,4,9,True,True,2,2,True,10,3,0.3,0.0779224799526091,0.2575757575757577,True
04fa6c1ecd337e7d,Paris,service,2016Q1,2015Q4,0.21176470588235308,7,5,2,9,True,True,2,2,True,7,0,0.0,-0.018281487661377525,0.13986013986014,True
04fa6c1ecd337e7d,Paris,service,2016Q4,2016Q3,0.37104072398190047,7,3,5,9,True,True,2,2,True,10,0,0.0,-0.08056827847075525,0.14285714285714302,True
05025a52d56d5801,Barcelona,breakfast,2017Q1,2016Q4,0.20833333333333326,6,2,6,9,True,True,2,2,True,10,2,0.2,-0.027885554837028814,0.25757575757575746,True
05025a52d56d5801,Barcelona,cleanliness,2016Q2,2016Q1,0.1578947368421053,9,2,3,9,True,True,2,2,True,10,2,0.2,-0.011675040864982212,0.2662337662337664,True
05025a52d56d5801,Barcelona,location,2016Q2,2016Q1,0.27956989247311825,21,14,3,9,True,True,2,2,True,10,3,0.3,0.14141923637815204,0.6345811051693406,True
05025a52d56d5801,Barcelona,service,2017Q1,2016Q4,0.22380952380952368,11,10,6,9,True,True,2,2,True,10,1,0.1,-0.07808206240365749,0.2542542542542543,True
050e30592212c130,Paris,cleanliness,2016Q4,2016Q3,0.46153846153846145,16,2,5,9,True,True,2,2,True,10,0,0.0,-0.020437405731523417,0.07692307692307687,True
050e30592212c130,Paris,location,2016Q3,2016Q2,0.1771771771771773,27,26,4,9,True,True,2,2,True,10,0,0.0,-0.008601130837972981,0.05820105820105814,True
050e30592212c130,Paris,room,2016Q1,2015Q4,0.23271889400921664,21,18,2,9,True,True,2,2,True,10,5,0.5,0.07056492935589623,0.32692307692307687,True
050e30592212c130,Paris,service,2017Q1,2016Q4,0.18333333333333335,22,20,6,9,True,True,2,2,True,10,1,0.1,0.00987297281919709,0.3216783216783218,True
0587de40fd9d7667,Paris,cleanliness,2016Q3,2016Q2,0.18300653594771243,7,8,4,9,True,True,2,2,True,9,0,0.0,-0.01963657257774905,0.11904761904761907,True
0587de40fd9d7667,Paris,location,2016Q2,2016Q1,0.2095588235294117,24,22,3,9,True,True,2,2,True,8,1,0.125,0.015696604951635912,0.19191919191919204,True
0587de40fd9d7667,Paris,room,2016Q2,2016Q1,0.17704426106526638,21,33,3,9,True,True,2,2,True,8,2,0.25,0.06370641419983532,0.46212121212121215,True
05abf8a796dc7630,Milan,breakfast,2016Q1,2015Q4,0.2236842105263157,9,14,2,9,True,True,2,2,True,9,2,0.2222222222222222,0.08416597397969056,0.18888888888888888,True
05abf8a796dc7630,Milan,cleanliness,2016Q2,2016Q1,0.2777777777777777,10,8,3,9,True,True,2,2,True,9,3,0.3333333333333333,0.09934245456201969,0.24696356275303644,True
